preflop,flop,turn,river,total
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.035, 0.0575)","(0.08, 0.1375)",0.1375
"(0.115, 0.115)","(0.12, 0.235)","(0, 0.235)","(0, 0.235)",0.235
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.035, 0.0575)","(0.0, 0.0575)",0.0575
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.035, 0.0575)","(0.16, 0.2175)",0.2175
"(0.02, 0.02)","(0.0, 0.02)","(0.0, 0.02)","(0.1, 0.12000000000000001)",0.12000000000000001
"(0.02, 0.02)","(0.0, 0.02)","(0.0, 0.02)","(0.04, 0.06)",0.06
"(0.075, 0.075)","(0.0825, 0.1575)","(0, 0.1575)","(0, 0.1575)",0.1575
"(0.02, 0.02)","(0.04, 0.06)","(0, 0.06)","(0, 0.06)",0.06
"(0.0225, 0.0225)","(0.025, 0.0475)","(0.0, 0.0475)","(0.05, 0.0975)",0.0975
"(0.065, 0.065)","(0.0, 0.065)","(0.0, 0.065)","(0.0, 0.065)",0.065
"(0.025, 0.025)","(0.0, 0.025)","(0.065, 0.09)","(0, 0.09)",0.09
"(0.07, 0.07)","(0.0555, 0.1255)","(0.0, 0.1255)","(0.1675, 0.29300000000000004)",0.29300000000000004
"(0.0233, 0.0233)","(0.0, 0.0233)","(0.0888, 0.1121)","(0, 0.1121)",0.1121
"(0.0275, 0.0275)","(0.055, 0.0825)","(0.0877, 0.17020000000000002)","(0.6165, 0.7867000000000001)",0.7867000000000001
"(0.0275, 0.0275)","(0.055, 0.0825)","(0.0877, 0.17020000000000002)","(0.1445, 0.3147)",0.3147
"(0.02, 0.02)","(0.0135, 0.0335)","(0.0, 0.0335)","(0.036, 0.0695)",0.0695
"(0.0245, 0.0245)","(0.0, 0.0245)","(0.0, 0.0245)","(0, 0.0245)",0.0245
"(0.0245, 0.0245)","(0.0, 0.0245)","(0.027, 0.051500000000000004)","(0, 0.051500000000000004)",0.051500000000000004
"(0.03, 0.03)","(0.0, 0.03)","(0.09, 0.12)","(0.42, 0.54)",0.54
"(0.03, 0.03)","(0.0, 0.03)","(0.09, 0.12)","(0.12, 0.24)",0.24
"(0.13, 0.13)","(0.0875, 0.2175)","(0.145, 0.3625)","(0, 0.3625)",0.3625
"(0.13, 0.13)","(0.0875, 0.2175)","(0.0, 0.2175)","(0, 0.2175)",0.2175
"(0.11, 0.11)","(0.0725, 0.1825)","(0, 0.1825)","(0, 0.1825)",0.1825
"(0.105, 0.105)","(0.08, 0.185)","(0.0, 0.185)","(0.0, 0.185)",0.185
"(0.105, 0.105)","(0.08, 0.185)","(0.0, 0.185)","(0.25, 0.435)",0.435
"(0.03, 0.03)","(0.045, 0.075)","(0.2, 0.275)","(0, 0.275)",0.275
"(0.025, 0.025)","(0.0275, 0.052500000000000005)","(0.0, 0.052500000000000005)","(0.075, 0.1275)",0.1275
"(0.025, 0.025)","(0.0275, 0.052500000000000005)","(0.0, 0.052500000000000005)","(0.0, 0.052500000000000005)",0.052500000000000005
"(0.105, 0.105)","(0.14, 0.245)","(0, 0.245)","(0, 0.245)",0.245
