preflop,flop,turn,river,total
"(0.115, 0.115)","(0.075, 0.19)","(0.0, 0.19)","(0, 0.19)",0.19
"(0.115, 0.115)","(0.075, 0.19)","(0.23, 0.42000000000000004)","(0, 0.42000000000000004)",0.42000000000000004
"(0.105, 0.105)","(0.0835, 0.1885)","(0.1935, 0.382)","(0.0, 0.382)",0.382
"(0.03, 0.03)","(0.0185, 0.0485)","(0, 0.0485)","(0, 0.0485)",0.0485
"(0.12, 0.12)","(0.0775, 0.1975)","(0, 0.1975)","(0, 0.1975)",0.1975
"(0.1, 0.1)","(0.12, 0.22)","(0, 0.22)","(0, 0.22)",0.22
"(0.0355, 0.0355)","(0, 0.0355)","(0, 0.0355)","(0, 0.0355)",0.0355
"(0.0, 0.0)","(0.01, 0.01)","(0.0, 0.01)","(0.025, 0.035)",0.035
"(0.085, 0.085)","(0.0955, 0.1805)","(0.15, 0.3305)","(0.6695, 1.0)",1.0
"(0.085, 0.085)","(0.0955, 0.1805)","(0.15, 0.3305)","(0.0, 0.3305)",0.3305
"(0.021, 0.021)","(0.0, 0.021)","(0.0, 0.021)","(0.052, 0.073)",0.073
"(0.02, 0.02)","(0.087, 0.107)","(0.0, 0.107)","(0.1095, 0.2165)",0.2165
"(0.02, 0.02)","(0.087, 0.107)","(0.0, 0.107)","(0.0, 0.107)",0.107
"(0.1975, 0.1975)","(0.1325, 0.33)","(0.2, 0.53)","(0, 0.53)",0.53
"(0.1975, 0.1975)","(0.1325, 0.33)","(0.0, 0.33)","(0, 0.33)",0.33
"(0.105, 0.105)","(0.0, 0.105)","(0.08, 0.185)","(0.0, 0.185)",0.185
"(0.0, 0.0)","(0.01, 0.01)","(0.03, 0.04)","(0.95, 0.99)",0.99
"(0.0, 0.0)","(0.01, 0.01)","(0.03, 0.04)","(0.185, 0.225)",0.225
"(0.025, 0.025)","(0.015, 0.04)","(0.0, 0.04)","(0.03, 0.07)",0.07
"(0.0215, 0.0215)","(0.035, 0.0565)","(0.0, 0.0565)","(0.08, 0.1365)",0.1365
"(0.021, 0.021)","(0.031, 0.052000000000000005)","(0.15, 0.202)","(0.0, 0.202)",0.202
"(0.0225, 0.0225)","(0.09, 0.11249999999999999)","(0.0225, 0.13499999999999998)","(0.275, 0.41000000000000003)",0.41000000000000003
"(0.0225, 0.0225)","(0.09, 0.11249999999999999)","(0.0225, 0.13499999999999998)","(0.0, 0.13499999999999998)",0.13499999999999998
"(0.021, 0.021)","(0.0, 0.021)","(0.065, 0.08600000000000001)","(0.3175, 0.4035)",0.4035
"(0.02, 0.02)","(0.0225, 0.042499999999999996)","(0.0, 0.042499999999999996)","(0.075, 0.1175)",0.1175
"(0.02, 0.02)","(0.0225, 0.042499999999999996)","(0.0, 0.042499999999999996)","(0.315, 0.3575)",0.3575
"(0.02, 0.02)","(0.0135, 0.0335)","(0.144, 0.1775)","(0, 0.1775)",0.1775
"(0.021, 0.021)","(0.014, 0.035)","(0.0, 0.035)","(0.12, 0.155)",0.155
"(0.0225, 0.0225)","(0.0325, 0.055)","(0.085, 0.14)","(0, 0.14)",0.14
"(0.0225, 0.0225)","(0.0325, 0.055)","(0.3075, 0.3625)","(0, 0.3625)",0.3625
"(0.021, 0.021)","(0.06, 0.081)","(0, 0.081)","(0, 0.081)",0.081
"(0.0225, 0.0225)","(0.0412, 0.0637)","(0.103, 0.16670000000000001)","(0, 0.16670000000000001)",0.16670000000000001
"(0.03, 0.03)","(0.0, 0.03)","(0.07, 0.1)","(0, 0.1)",0.1
"(0.08, 0.08)","(0.0777, 0.1577)","(0.0, 0.1577)","(0, 0.1577)",0.1577
"(0.08, 0.08)","(0.0777, 0.1577)","(0.1, 0.25770000000000004)","(0, 0.25770000000000004)",0.25770000000000004
"(0.0625, 0.0625)","(0.0999, 0.1624)","(0, 0.1624)","(0, 0.1624)",0.1624
"(0.021, 0.021)","(0.0, 0.021)","(0.0, 0.021)","(0.04, 0.061)",0.061
"(0.021, 0.021)","(0.0225, 0.0435)","(0.0, 0.0435)","(0.0655, 0.109)",0.109
"(0.0, 0.0)","(0.01, 0.01)","(0.07, 0.08)","(0.0, 0.08)",0.08
"(0.0, 0.0)","(0.01, 0.01)","(0.07, 0.08)","(0.91, 0.99)",0.99
"(0.021, 0.021)","(0.0, 0.021)","(0.0285, 0.0495)","(0.341, 0.3905)",0.3905
"(0.021, 0.021)","(0.11, 0.131)","(0, 0.131)","(0, 0.131)",0.131
"(0.0225, 0.0225)","(0.03, 0.0525)","(0.03, 0.08249999999999999)","(0, 0.08249999999999999)",0.08249999999999999
"(0.0205, 0.0205)","(0.0, 0.0205)","(0.023, 0.0435)","(0.0575, 0.101)",0.101
"(0.0205, 0.0205)","(0.0, 0.0205)","(0.023, 0.0435)","(0.0, 0.0435)",0.0435
"(0.025, 0.025)","(0.0, 0.025)","(0.03, 0.055)","(0.12, 0.175)",0.175
"(0.021, 0.021)","(0.0, 0.021)","(0.0, 0.021)","(0.0285, 0.0495)",0.0495
"(0.0675, 0.0675)","(0.0375, 0.10500000000000001)","(0.225, 0.33)","(0.67, 1.0)",1.0
"(0.0675, 0.0675)","(0.0375, 0.10500000000000001)","(0.225, 0.33)","(0.5062, 0.8362)",0.8362
"(0.0225, 0.0225)","(0.035, 0.0575)","(0.0, 0.0575)","(0.045, 0.10250000000000001)",0.10250000000000001
"(0.215, 0.215)","(0.14, 0.355)","(0.22, 0.575)","(0.0, 0.575)",0.575
"(0.021, 0.021)","(0.0, 0.021)","(0.0, 0.021)","(0.08, 0.101)",0.101
"(0.021, 0.021)","(0.0, 0.021)","(0.0, 0.021)","(0.02, 0.041)",0.041
"(0.225, 0.225)","(0.18, 0.405)","(0, 0.405)","(0, 0.405)",0.405
"(0.02, 0.02)","(0.0, 0.02)","(0.0225, 0.042499999999999996)","(0.0675, 0.11)",0.11
"(0.04, 0.04)","(0.069, 0.10900000000000001)","(0.179, 0.28800000000000003)","(0.712, 1.0)",1.0
"(0.065, 0.065)","(0.0725, 0.1375)","(0.18, 0.3175)","(0.6825, 1.0)",1.0
"(0.0287, 0.0287)","(0.1248, 0.1535)","(0, 0.1535)","(0, 0.1535)",0.1535
"(0.025, 0.025)","(0.0276, 0.0526)","(0, 0.0526)","(0, 0.0526)",0.0526
"(0.02, 0.02)","(0.0, 0.02)","(0.0337, 0.0537)","(0.0875, 0.1412)",0.1412
"(0.075, 0.075)","(0.0, 0.075)","(0.0, 0.075)","(0.1237, 0.1987)",0.1987
"(0.0225, 0.0225)","(0.0574, 0.0799)","(0.14, 0.2199)","(0, 0.2199)",0.2199
"(0.0225, 0.0225)","(0.0574, 0.0799)","(0.0, 0.0799)","(0, 0.0799)",0.0799
"(0.0681, 0.0681)","(0.0378, 0.1059)","(0.065, 0.1709)","(0.0, 0.1709)",0.1709
"(0.0681, 0.0681)","(0.0378, 0.1059)","(0.065, 0.1709)","(0.2676, 0.4385)",0.4385
"(0.035, 0.035)","(0.025, 0.060000000000000005)","(0.0, 0.060000000000000005)","(0.08, 0.14)",0.14
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.0, 0.0225)","(0.04, 0.0625)",0.0625
"(0.073, 0.073)","(0.078, 0.151)","(0.0, 0.151)","(0.0, 0.151)",0.151
"(0.0225, 0.0225)","(0.0275, 0.05)","(0.0875, 0.1375)","(0, 0.1375)",0.1375
"(0.105, 0.105)","(0.11, 0.215)","(0.0, 0.215)","(0, 0.215)",0.215
"(0.105, 0.105)","(0.11, 0.215)","(0.22, 0.435)","(0, 0.435)",0.435
"(0.025, 0.025)","(0.03, 0.055)","(0.075, 0.13)","(0.0, 0.13)",0.13
"(0.0, 0.0)","(0.01, 0.01)","(0.03, 0.04)","(0.075, 0.11499999999999999)",0.11499999999999999
"(0.2575, 0.2575)","(0.7425, 1.0)","(0, 1.0)","(0, 1.0)",1.0
"(0.0225, 0.0225)","(0.0375, 0.06)","(0.0937, 0.1537)","(0.1562, 0.3099)",0.3099
"(0.075, 0.075)","(0.2325, 0.3075)","(0.6925, 1.0)","(0, 1.0)",1.0
"(0.02, 0.02)","(0.015, 0.035)","(0.0, 0.035)","(0.01, 0.045000000000000005)",0.045000000000000005
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.05, 0.07250000000000001)","(0.09, 0.1625)",0.1625
"(0.078, 0.078)","(0.0, 0.078)","(0.05, 0.128)","(0.065, 0.193)",0.193
"(0.0225, 0.0225)","(0.02, 0.042499999999999996)","(0.078, 0.1205)","(0.215, 0.3355)",0.3355
"(0.1225, 0.1225)","(0.0625, 0.185)","(0.275, 0.46)","(0, 0.46)",0.46
"(0.1225, 0.1225)","(0.0625, 0.185)","(0.0937, 0.2787)","(0, 0.2787)",0.2787
"(0.0, 0.0)","(0.0, 0.0)","(0.015, 0.015)","(0.0385, 0.0535)",0.0535
"(0.1, 0.1)","(0.08, 0.18)","(0.16, 0.33999999999999997)","(0, 0.33999999999999997)",0.33999999999999997
"(0.03, 0.03)","(0.015, 0.045)","(0.0, 0.045)","(0.18, 0.22499999999999998)",0.22499999999999998
"(0.03, 0.03)","(0.015, 0.045)","(0.0, 0.045)","(0.045, 0.09)",0.09
"(0.025, 0.025)","(0.0, 0.025)","(0.0175, 0.0425)","(0.07, 0.11250000000000002)",0.11250000000000002
"(0.02, 0.02)","(0.0, 0.02)","(0.01, 0.03)","(0.03, 0.06)",0.06
"(0.193, 0.193)","(0.0, 0.193)","(0.176, 0.369)","(0.631, 1.0)",1.0
"(0.193, 0.193)","(0.0, 0.193)","(0.176, 0.369)","(0.0, 0.369)",0.369
"(0.2425, 0.2425)","(0.225, 0.4675)","(0, 0.4675)","(0, 0.4675)",0.4675
"(0.08, 0.08)","(0.1237, 0.2037)","(0.3093, 0.513)","(0, 0.513)",0.513
"(0.021, 0.021)","(0.0427, 0.0637)","(0.1424, 0.2061)","(0.0, 0.2061)",0.2061
"(0.021, 0.021)","(0.0427, 0.0637)","(0.1424, 0.2061)","(0.7939, 1.0)",1.0
"(0.025, 0.025)","(0.0, 0.025)","(0.0, 0.025)","(0.2725, 0.29750000000000004)",0.29750000000000004
"(0.025, 0.025)","(0.018, 0.043)","(0.06, 0.103)","(0.0, 0.103)",0.103
"(0.025, 0.025)","(0.04, 0.065)","(0.1, 0.165)","(0, 0.165)",0.165
"(0.025, 0.025)","(0.0425, 0.0675)","(0, 0.0675)","(0, 0.0675)",0.0675
"(0.02, 0.02)","(0.0, 0.02)","(0.0, 0.02)","(0.018, 0.038)",0.038
"(0.025, 0.025)","(0.075, 0.1)","(0.22, 0.32)","(0, 0.32)",0.32
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.035, 0.0575)","(0.03, 0.0875)",0.0875
"(0.025, 0.025)","(0.03, 0.055)","(0.0, 0.055)","(0.15, 0.205)",0.205
"(0.0225, 0.0225)","(0.02, 0.042499999999999996)","(0.078, 0.1205)","(0.0, 0.1205)",0.1205
"(0.07, 0.07)","(0.035, 0.10500000000000001)","(0.0, 0.10500000000000001)","(0.895, 1.0)",1.0
"(0.07, 0.07)","(0.035, 0.10500000000000001)","(0.0, 0.10500000000000001)","(0.1125, 0.21750000000000003)",0.21750000000000003
"(0.02, 0.02)","(0.0, 0.02)","(0.0375, 0.057499999999999996)","(0, 0.057499999999999996)",0.057499999999999996
"(0.025, 0.025)","(0.0, 0.025)","(0.0, 0.025)","(0.065, 0.09)",0.09
"(0.0681, 0.0681)","(0.0378, 0.1059)","(0, 0.1059)","(0, 0.1059)",0.1059
"(0.0225, 0.0225)","(0.0375, 0.06)","(0.0, 0.06)","(0.03, 0.09)",0.09
"(0.073, 0.073)","(0.927, 1.0)","(0, 1.0)","(0, 1.0)",1.0
"(0.0225, 0.0225)","(0.025, 0.0475)","(0.025, 0.07250000000000001)","(0.9275, 1.0)",1.0
"(0.0225, 0.0225)","(0.025, 0.0475)","(0.025, 0.07250000000000001)","(0.3, 0.3725)",0.3725
"(0.0225, 0.0225)","(0.015, 0.0375)","(0.07, 0.10750000000000001)","(0, 0.10750000000000001)",0.10750000000000001
"(0.02, 0.02)","(0.0, 0.02)","(0.0175, 0.037500000000000006)","(0, 0.037500000000000006)",0.037500000000000006
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.0, 0.0225)","(0.76, 0.7825)",0.7825
"(0.03, 0.03)","(0.03, 0.06)","(0.0, 0.06)","(0.0725, 0.1325)",0.1325
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.0375, 0.06)","(0.195, 0.255)",0.255
"(0.1535, 0.1535)","(0, 0.1535)","(0, 0.1535)","(0, 0.1535)",0.1535
"(0.0225, 0.0225)","(0.025, 0.0475)","(0.0, 0.0475)","(0.15, 0.1975)",0.1975
"(0.1125, 0.1125)","(0.0575, 0.17)","(0, 0.17)","(0, 0.17)",0.17
"(0.021, 0.021)","(0.035, 0.05600000000000001)","(0.0, 0.05600000000000001)","(0.175, 0.23099999999999998)",0.23099999999999998
"(0.0275, 0.0275)","(0.015, 0.042499999999999996)","(0.0777, 0.1202)","(0.0, 0.1202)",0.1202
"(0.03, 0.03)","(0.1102, 0.1402)","(0, 0.1402)","(0, 0.1402)",0.1402
"(0.03, 0.03)","(0.0401, 0.0701)","(0, 0.0701)","(0, 0.0701)",0.0701
"(0.1025, 0.1025)","(0.1075, 0.21)","(0, 0.21)","(0, 0.21)",0.21
"(0.0287, 0.0287)","(0.0312, 0.059899999999999995)","(0.0, 0.059899999999999995)","(0.0936, 0.1535)",0.1535
"(0.021, 0.021)","(0.04, 0.061)","(0, 0.061)","(0, 0.061)",0.061
"(0.0225, 0.0225)","(0.025, 0.0475)","(0.1875, 0.235)","(0, 0.235)",0.235
"(0.075, 0.075)","(0.2375, 0.3125)","(0, 0.3125)","(0, 0.3125)",0.3125
"(0.0937, 0.0937)","(0, 0.0937)","(0, 0.0937)","(0, 0.0937)",0.0937
"(0.11, 0.11)","(0.09, 0.2)","(0.13, 0.33)","(0.67, 1.0)",1.0
"(0.11, 0.11)","(0.09, 0.2)","(0.13, 0.33)","(0.0, 0.33)",0.33
"(0.03, 0.03)","(0.06, 0.09)","(0.0, 0.09)","(0.36, 0.44999999999999996)",0.44999999999999996
"(0.03, 0.03)","(0.06, 0.09)","(0.0, 0.09)","(0.09, 0.18)",0.18
"(0.2346, 0.2346)","(0.1444, 0.379)","(0, 0.379)","(0, 0.379)",0.379
"(0.2346, 0.2346)","(0.0, 0.2346)","(0, 0.2346)","(0, 0.2346)",0.2346
"(0.09, 0.09)","(0.0475, 0.1375)","(0.0, 0.1375)","(0, 0.1375)",0.1375
"(0.09, 0.09)","(0.0475, 0.1375)","(0.0925, 0.23)","(0, 0.23)",0.23
"(0.0225, 0.0225)","(0.025, 0.0475)","(0.155, 0.2025)","(0.0, 0.2025)",0.2025
"(0.0775, 0.0775)","(0.0825, 0.16)","(0.2475, 0.4075)","(0.5925, 1.0)",1.0
"(0.0775, 0.0775)","(0.0825, 0.16)","(0.2475, 0.4075)","(0.0, 0.4075)",0.4075
"(0.02, 0.02)","(0.0, 0.02)","(0.055, 0.075)","(0.275, 0.35000000000000003)",0.35000000000000003
"(0.02, 0.02)","(0.0712, 0.0912)","(0.0, 0.0912)","(0.0675, 0.1587)",0.1587
"(0.02, 0.02)","(0.0712, 0.0912)","(0.0, 0.0912)","(0.0, 0.0912)",0.0912
"(0.035, 0.035)","(0.0, 0.035)","(0.0, 0.035)","(0.0375, 0.07250000000000001)",0.07250000000000001
"(0.02, 0.02)","(0.07, 0.09000000000000001)","(0.185, 0.275)","(0, 0.275)",0.275
"(0.03, 0.03)","(0.036, 0.066)","(0, 0.066)","(0, 0.066)",0.066
"(0.0225, 0.0225)","(0.0675, 0.09)","(0, 0.09)","(0, 0.09)",0.09
"(0.02, 0.02)","(0.0225, 0.042499999999999996)","(0.135, 0.1775)","(0, 0.1775)",0.1775
"(0.0525, 0.0525)","(0.0, 0.0525)","(0, 0.0525)","(0, 0.0525)",0.0525
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.0125, 0.035)","(0.0562, 0.0912)",0.0912
"(0.02, 0.02)","(0.0, 0.02)","(0.046, 0.066)","(0.0, 0.066)",0.066
"(0.02, 0.02)","(0.0, 0.02)","(0.046, 0.066)","(0.0735, 0.1395)",0.1395
"(0.03, 0.03)","(0.08, 0.11)","(0.0, 0.11)","(0, 0.11)",0.11
"(0.03, 0.03)","(0.08, 0.11)","(0.055, 0.165)","(0, 0.165)",0.165
"(0.07, 0.07)","(0.055, 0.125)","(0.18, 0.305)","(0.0, 0.305)",0.305
"(0.0, 0.0)","(0.0, 0.0)","(0.015, 0.015)","(0.025, 0.04)",0.04
"(0.07, 0.07)","(0.055, 0.125)","(0.18, 0.305)","(0.695, 1.0)",1.0
"(0.0725, 0.0725)","(0.0, 0.0725)","(0.0, 0.0725)","(0.28, 0.35250000000000004)",0.35250000000000004
"(0.02, 0.02)","(0.0, 0.02)","(0.015, 0.035)","(0.0375, 0.07250000000000001)",0.07250000000000001
"(0.0287, 0.0287)","(0.0, 0.0287)","(0.0936, 0.1223)","(0, 0.1223)",0.1223
"(0.0225, 0.0225)","(0.015, 0.0375)","(0.04, 0.0775)","(0.0, 0.0775)",0.0775
"(0.0222, 0.0222)","(0.0135, 0.0357)","(0, 0.0357)","(0, 0.0357)",0.0357
"(0.02, 0.02)","(0.0337, 0.0537)","(0.0, 0.0537)","(0.0, 0.0537)",0.0537
"(0.02, 0.02)","(0.0337, 0.0537)","(0.0, 0.0537)","(0.0562, 0.1099)",0.1099
"(0.0612, 0.0612)","(0.0, 0.0612)","(0.0, 0.0612)","(0.039, 0.1002)",0.1002
"(0.0612, 0.0612)","(0.0, 0.0612)","(0.0, 0.0612)","(0.1467, 0.2079)",0.2079
"(0.0825, 0.0825)","(0.09, 0.1725)","(0.36, 0.5325)","(0, 0.5325)",0.5325
"(0.02, 0.02)","(0.0, 0.02)","(0.0, 0.02)","(0.055, 0.075)",0.075
"(0.02, 0.02)","(0.0, 0.02)","(0.0, 0.02)","(0.0135, 0.0335)",0.0335
"(0.025, 0.025)","(0.035, 0.060000000000000005)","(0.0, 0.060000000000000005)","(0.16, 0.22)",0.22
"(0.1815, 0.1815)","(0, 0.1815)","(0, 0.1815)","(0, 0.1815)",0.1815
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.025, 0.0475)","(0.06, 0.1075)",0.1075
"(0.02, 0.02)","(0.015, 0.035)","(0.115, 0.15000000000000002)","(0, 0.15000000000000002)",0.15000000000000002
"(0.07, 0.07)","(0.075, 0.14500000000000002)","(0.0, 0.14500000000000002)","(0.0, 0.14500000000000002)",0.14500000000000002
"(0.07, 0.07)","(0.075, 0.14500000000000002)","(0.0, 0.14500000000000002)","(0.15, 0.29500000000000004)",0.29500000000000004
"(0.07, 0.07)","(0.05, 0.12000000000000001)","(0.0, 0.12000000000000001)","(0.4, 0.52)",0.52
"(0.02, 0.02)","(0.048, 0.068)","(0.0, 0.068)","(0, 0.068)",0.068
"(0.02, 0.02)","(0.048, 0.068)","(0.115, 0.183)","(0, 0.183)",0.183
"(0.03, 0.03)","(0.02, 0.05)","(0.0, 0.05)","(0.15, 0.2)",0.2
"(0.115, 0.115)","(0.0675, 0.1825)","(0.0, 0.1825)","(0.0, 0.1825)",0.1825
"(0.03, 0.03)","(0.045, 0.075)","(0.1125, 0.1875)","(0, 0.1875)",0.1875
"(0.2325, 0.2325)","(0.0, 0.2325)","(0.24, 0.47250000000000003)","(0.0, 0.47250000000000003)",0.47250000000000003
"(0.21, 0.21)","(0.14, 0.35)","(0.23, 0.58)","(0.42, 1.0)",1.0
"(0.09, 0.09)","(0.0675, 0.1575)","(0.225, 0.3825)","(0.0, 0.3825)",0.3825
"(0.0225, 0.0225)","(0.015, 0.0375)","(0.0, 0.0375)","(0.04, 0.0775)",0.0775
"(0.195, 0.195)","(0.145, 0.33999999999999997)","(0, 0.33999999999999997)","(0, 0.33999999999999997)",0.33999999999999997
"(0.04, 0.04)","(0.055, 0.095)","(0.155, 0.25)","(0.0, 0.25)",0.25
"(0.04, 0.04)","(0.0, 0.04)","(0.06, 0.1)","(0, 0.1)",0.1
"(0.025, 0.025)","(0.085, 0.11000000000000001)","(0, 0.11000000000000001)","(0, 0.11000000000000001)",0.11000000000000001
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.015, 0.0375)","(0.27, 0.3075)",0.3075
"(0.03, 0.03)","(0.045, 0.075)","(0.28, 0.35500000000000004)","(0, 0.35500000000000004)",0.35500000000000004
"(0.0275, 0.0275)","(0.0, 0.0275)","(0.0, 0.0275)","(0.039, 0.0665)",0.0665
"(0.073, 0.073)","(0.0999, 0.1729)","(0, 0.1729)","(0, 0.1729)",0.1729
"(0.021, 0.021)","(0.0, 0.021)","(0.018, 0.039)","(0, 0.039)",0.039
"(0.03, 0.03)","(0.07, 0.1)","(0, 0.1)","(0, 0.1)",0.1
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.055, 0.0775)","(0, 0.0775)",0.0775
"(0.0225, 0.0225)","(0.02, 0.042499999999999996)","(0.069, 0.1115)","(0, 0.1115)",0.1115
"(0.0725, 0.0725)","(0.0, 0.0725)","(0.0, 0.0725)","(0.1125, 0.185)",0.185
"(0.1325, 0.1325)","(0.1375, 0.27)","(0.1655, 0.4355)","(0.0, 0.4355)",0.4355
"(0.0235, 0.0235)","(0.0, 0.0235)","(0.14, 0.1635)","(0, 0.1635)",0.1635
"(0.0235, 0.0235)","(0.0, 0.0235)","(0.0235, 0.047)","(0, 0.047)",0.047
"(0.021, 0.021)","(0.047, 0.068)","(0.2, 0.268)","(0, 0.268)",0.268
"(0.0725, 0.0725)","(0.07, 0.14250000000000002)","(0, 0.14250000000000002)","(0, 0.14250000000000002)",0.14250000000000002
"(0.021, 0.021)","(0.026, 0.047)","(0.14, 0.187)","(0.813, 1.0)",1.0
"(0.021, 0.021)","(0.026, 0.047)","(0.14, 0.187)","(0.0, 0.187)",0.187
"(0.09, 0.09)","(0.0, 0.09)","(0.15, 0.24)","(0.0, 0.24)",0.24
"(0.02, 0.02)","(0.041, 0.061)","(0.0317, 0.0927)","(0.2856, 0.3783)",0.3783
"(0.021, 0.021)","(0.015, 0.036000000000000004)","(0.0, 0.036000000000000004)","(0.1925, 0.2285)",0.2285
"(0.0225, 0.0225)","(0.065, 0.0875)","(0.0, 0.0875)","(0, 0.0875)",0.0875
"(0.0225, 0.0225)","(0.065, 0.0875)","(0.27, 0.35750000000000004)","(0, 0.35750000000000004)",0.35750000000000004
"(0.0225, 0.0225)","(0.05, 0.07250000000000001)","(0.225, 0.2975)","(0, 0.2975)",0.2975
"(0.0875, 0.0875)","(0.0, 0.0875)","(0.18, 0.26749999999999996)","(0, 0.26749999999999996)",0.26749999999999996
"(0.05, 0.05)","(0.04, 0.09)","(0, 0.09)","(0, 0.09)",0.09
"(0.0875, 0.0875)","(0.0437, 0.13119999999999998)","(0.0, 0.13119999999999998)","(0.07, 0.2012)",0.2012
"(0.0875, 0.0875)","(0.0437, 0.13119999999999998)","(0.0, 0.13119999999999998)","(0.0, 0.13119999999999998)",0.13119999999999998
"(0.0, 0.0)","(0.01, 0.01)","(0.01, 0.02)","(0.04, 0.06)",0.06
"(0.0, 0.0)","(0.01, 0.01)","(0.01, 0.02)","(0.175, 0.19499999999999998)",0.19499999999999998
"(0.095, 0.095)","(0.1, 0.195)","(0, 0.195)","(0, 0.195)",0.195
"(0.1775, 0.1775)","(0.12, 0.2975)","(0.0, 0.2975)","(0.305, 0.6025)",0.6025
"(0.1775, 0.1775)","(0.12, 0.2975)","(0.0, 0.2975)","(0.7025, 1.0)",1.0
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.1, 0.1225)","(0.5, 0.6225)",0.6225
"(0.045, 0.045)","(0.185, 0.22999999999999998)","(0.16, 0.39)","(0.0, 0.39)",0.39
"(0.07, 0.07)","(0.0775, 0.14750000000000002)","(0.2, 0.34750000000000003)","(0.0, 0.34750000000000003)",0.34750000000000003
"(0.07, 0.07)","(0.0775, 0.14750000000000002)","(0.2, 0.34750000000000003)","(0.6525, 1.0)",1.0
"(0.02, 0.02)","(0.041, 0.061)","(0.1, 0.161)","(0.839, 1.0)",1.0
"(0.03, 0.03)","(0.09, 0.12)","(0, 0.12)","(0, 0.12)",0.12
"(0.0285, 0.0285)","(0.0285, 0.057)","(0.0, 0.057)","(0, 0.057)",0.057
"(0.0285, 0.0285)","(0.0285, 0.057)","(0.07, 0.127)","(0, 0.127)",0.127
"(0.0225, 0.0225)","(0.015, 0.0375)","(0.0, 0.0375)","(0.0675, 0.10500000000000001)",0.10500000000000001
"(0.021, 0.021)","(0.05, 0.07100000000000001)","(0, 0.07100000000000001)","(0, 0.07100000000000001)",0.07100000000000001
"(0.0, 0.0)","(0.01, 0.01)","(0.04, 0.05)","(0.12, 0.16999999999999998)",0.16999999999999998
"(0.0225, 0.0225)","(0.065, 0.0875)","(0.06, 0.1475)","(0.075, 0.22249999999999998)",0.22249999999999998
"(0.0275, 0.0275)","(0.0275, 0.055)","(0.055, 0.11)","(0.0, 0.11)",0.11
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.0, 0.0225)","(0.275, 0.29750000000000004)",0.29750000000000004
"(0.0525, 0.0525)","(0.03, 0.08249999999999999)","(0, 0.08249999999999999)","(0, 0.08249999999999999)",0.08249999999999999
"(0.0744, 0.0744)","(0, 0.0744)","(0, 0.0744)","(0, 0.0744)",0.0744
"(0.021, 0.021)","(0.013, 0.034)","(0, 0.034)","(0, 0.034)",0.034
"(0.021, 0.021)","(0.0, 0.021)","(0.0, 0.021)","(0.026, 0.047)",0.047
"(0.0235, 0.0235)","(0.0163, 0.0398)","(0, 0.0398)","(0, 0.0398)",0.0398
"(0.0225, 0.0225)","(0.0375, 0.06)","(0.108, 0.16799999999999998)","(0, 0.16799999999999998)",0.16799999999999998
"(0.2004, 0.2004)","(0.1039, 0.3043)","(0, 0.3043)","(0, 0.3043)",0.3043
"(0.2004, 0.2004)","(0.7996, 1.0)","(0, 1.0)","(0, 1.0)",1.0
"(0.035, 0.035)","(0.0, 0.035)","(0.035, 0.07)","(0, 0.07)",0.07
"(0.0, 0.0)","(0.01, 0.01)","(0.0275, 0.0375)","(0, 0.0375)",0.0375
"(0.025, 0.025)","(0.031, 0.056)","(0, 0.056)","(0, 0.056)",0.056
"(0.0225, 0.0225)","(0.05, 0.07250000000000001)","(0.075, 0.14750000000000002)","(0, 0.14750000000000002)",0.14750000000000002
"(0.02, 0.02)","(0.0, 0.02)","(0.015, 0.035)","(0.175, 0.21)",0.21
"(0.02, 0.02)","(0.0, 0.02)","(0.015, 0.035)","(0.4937, 0.5287000000000001)",0.5287000000000001
"(0.0777, 0.0777)","(0.9223, 1.0)","(0, 1.0)","(0, 1.0)",1.0
"(0.03, 0.03)","(0.01, 0.04)","(0.0, 0.04)","(0.0375, 0.0775)",0.0775
"(0.0, 0.0)","(0.0, 0.0)","(0.0125, 0.0125)","(0, 0.0125)",0.0125
"(0.025, 0.025)","(0.025, 0.05)","(0.0925, 0.14250000000000002)","(0.0, 0.14250000000000002)",0.14250000000000002
"(0.09, 0.09)","(0.1425, 0.23249999999999998)","(0, 0.23249999999999998)","(0, 0.23249999999999998)",0.23249999999999998
"(0.02, 0.02)","(0.09, 0.11)","(0.25, 0.36)","(0, 0.36)",0.36
"(0.0, 0.0)","(0.01, 0.01)","(0.02, 0.03)","(0.24, 0.27)",0.27
"(0.025, 0.025)","(0.0425, 0.0675)","(0.1, 0.1675)","(0, 0.1675)",0.1675
"(0.025, 0.025)","(0.0425, 0.0675)","(0.285, 0.3525)","(0, 0.3525)",0.3525
"(0.0775, 0.0775)","(0.07, 0.14750000000000002)","(0.0, 0.14750000000000002)","(0.0, 0.14750000000000002)",0.14750000000000002
