blinds,stacks,pre_flop_bets,flop_bets,turn_bets,river_bets
"[50, 100]","[10000, 10000]","{'Pluribus': 362, 'MrWhite': 362}","{'Pluribus': 0, 'MrWhite': 0}","{'Pluribus': 218, 'MrWhite': 218}","{'Pluribus': 2619, 'MrWhite': 982}"
"[50, 100]","[10000, 10000]","{'MrBlue': 300, 'Pluribus': 300}","{'MrBlue': 0, 'Pluribus': 0}","{'MrBlue': 0, 'Pluribus': 0}","{'MrBlue': 450, 'Pluribus': 0}"
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'Budd': 225}","{'Budd': 0, 'MrBlue': 0}","{'Budd': 0, 'MrBlue': 0}","{'Budd': 250, 'MrBlue': 0}"
"[50, 100]","[10000, 10000]","{'MrBlue': 0, 'Pluribus': 0}","{'MrBlue': 0, 'Pluribus': 0}","{'MrBlue': 0, 'Pluribus': 200}",{}
"[50, 100]","[10000, 10000]","{'Hattori': 211, 'Budd': 211}","{'Budd': 0, 'Hattori': 475}",{},{}
"[50, 100]","[10000, 10000]","{'Pluribus': 200, 'MrOrange': 1100}",{},{},{}
"[50, 100]","[10000, 10000]","{'MrBlue': 275, 'Pluribus': 275}","{'MrBlue': 0, 'Pluribus': 1100}",{},{}
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'Budd': 225}","{'Budd': 0, 'MrBlue': 0}","{'Budd': 0, 'MrBlue': 0}","{'Budd': 0, 'MrBlue': 0}"
"[50, 100]","[10000, 10000]","{'Hattori': 200, 'MrWhite': 200}","{'MrWhite': 0, 'Hattori': 115}",{},{}
"[50, 100]","[10000, 10000]","{'Budd': 250, 'MrOrange': 250}","{'MrOrange': 0, 'Budd': 0}","{'MrOrange': 0, 'Budd': 0}","{'MrOrange': 455, 'Budd': 455}"
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'Budd': 225}","{'MrBlue': 250, 'Budd': 250}","{'MrBlue': 0, 'Budd': 825}",{}
"[50, 100]","[10000, 10000]","{'Hattori': 211, 'Budd': 211}","{'Budd': 0, 'Hattori': 550}",{},{}
"[50, 100]","[10000, 10000]","{'Hattori': 200, 'Pluribus': 200}","{'Hattori': 0, 'Pluribus': 0}","{'Hattori': 0, 'Pluribus': 0}","{'Hattori': 1650, 'Pluribus': 275}"
"[50, 100]","[10000, 10000]","{'MrWhite': 225, 'MrBlue': 225}","{'MrBlue': 0, 'MrWhite': 0}","{'MrBlue': 0, 'MrWhite': 0}","{'MrBlue': 0, 'MrWhite': 0}"
